마포구,202109,3900,146,마포역 2번출구 뒤,37.53993607,126.9458237
노원구,202109,3891,1601,석계역 문화광장 내 자전거 보관소,37.62266159,127.0618973
영등포구,202109,3885,4571,문래동롯데캐슬아파트,37.51800156,126.8845978
강서구,202109,3871,3789,염창나들목,37.55680466,126.8715591
성동구,202109,3870,567,성수역 2번출구 앞,37.54459,127.0570831
영등포구,202109,3859,211,여의도역 4번출구 옆,37.52222824,126.9246368
관악구,202109,3848,2136,신림역 8번출구,37.48450851,126.930069
서초구,202109,3839,2220,반포본동 주민센터 앞,37.50061417,126.9861603
도봉구,202109,3835,4076,진영상운 앞 중랑천 변,37.67984772,127.0503845
동작구,202109,3830,2050,노량진역 5번출구,37.51324844,126.9399719
노원구,202109,3817,1610,화랑대역 2번출구 앞,37.62994003,127.0765533
영등포구,202109,3804,275,신동아아파트,37.5228157,126.8856506
동작구,202109,3796,2002,노들역 1번출구,37.51284409,126.9524689
송파구,202109,3796,2621,한성백제역 2번 출구,37.51665878,127.1162567
마포구,202109,3793,147,마포역 4번출구 뒤,37.53927231,126.9459152
영등포구,202109,3785,293,충북 미래관,37.52917099,126.9075775
양천구,202109,3781,708,서울출입국관리사무소 앞,37.51897049,126.8699646
강서구,202109,3759,3788,정곡나들목,37.5841713,126.8193283
강동구,202109,3758,1020,강동경찰서,37.52825165,127.1268005
송파구,202109,3739,2639,석촌역 8번출구,37.50550461,127.106575
마포구,202109,3723,498,연남동주민센터 앞,37.56465149,126.9221268
강서구,202109,3718,2704,홈플러스(강서점),37.55852127,126.8540115
종로구,202109,3715,361,동묘앞역 1번출구 뒤,37.57324219,127.0159073
은평구,202109,3715,906,연신내역 5번출구150M 아래,37.61721039,126.9195786
송파구,202109,3709,4483,잠실나들목4,37.51632309,127.084343
노원구,202109,3703,4029,청소년수련관 후문,37.65153503,127.0732727
노원구,202109,3702,1684,태릉입구역 5번출구,37.64818954,127.0804825
노원구,202109,3695,1650,중계근린공원내,37.67237473,127.0559921
동대문구,202109,3693,631,답십리역 1번출구,37.5681839,127.0512772
강서구,202109,3692,2744,강서세무서앞,37.56214905,126.8209992
강서구,202109,3669,3780,등촌서광아파트,37.55755234,126.8562546
동대문구,202109,3666,634,외국어대 정문 앞,37.59601974,127.0598297
